dataset,model,display_model,arm,method,train_per_class,train_labels,status,n_test,accuracy,macro_f1,balanced_accuracy,n_failures,probability_coverage,log_loss,brier_sum,run_id,source_run_id,measurement_origin,source_path
breast_cancer,HuggingFaceTB/SmolLM2-1.7B-Instruct,SmolLM2 1.7B,base,few_shot,4,8,complete,114,0.37719298245614036,0.27388535031847133,0.5,0,1.0,0.7259786001130808,0.5326510541666869,breast_cancer__SmolLM2-1.7B-Instruct__ca3bd779a9a8,,new_local_expansion,results/numeric_expansion/local/breast_cancer__SmolLM2-1.7B-Instruct__ca3bd779a9a8/run.json
breast_cancer,HuggingFaceTB/SmolLM2-1.7B-Instruct+jev_review,SmolLM2 1.7B → Jev,review,cached_label_jev_review,4,,stopped_after_three_consecutive_errors,,,,,,,,,breast_cancer__smollm2__k4__jev-review,breast_cancer__SmolLM2-1.7B-Instruct__ca3bd779a9a8,,results/numeric_expansion/review/breast_cancer__smollm2__k4__jev-review/run.json
breast_cancer,ibm-granite/granite-3.3-2b-instruct,Granite 3.3 2B,base,zero_shot,0,0,complete,114,0.37719298245614036,0.27388535031847133,0.5,0,1.0,4.859290827264308,1.244451169724135,breast_cancer__granite-3.3-2b-instruct__60f28b8df77a,,new_local_expansion,results/numeric_expansion/local/breast_cancer__granite-3.3-2b-instruct__60f28b8df77a/run.json
breast_cancer,ibm-granite/granite-3.3-2b-instruct+jev_review,Granite 3.3 2B → Jev,review,cached_label_jev_review,0,,pending: no complete audited artifact,,,,,,,,,pending::breast_cancer::ibm-granite/granite-3.3-2b-instruct::review::0,breast_cancer__granite-3.3-2b-instruct__60f28b8df77a,,
breast_cancer,ibm-granite/granite-3.3-2b-instruct,Granite 3.3 2B,base,few_shot,4,8,complete,114,0.6140350877192983,0.6062794348508633,0.6901408450704225,0,1.0,0.8881571724223862,0.5593338672489331,breast_cancer__granite-3.3-2b-instruct__97fecebfe0ba,,new_local_expansion,results/numeric_expansion/local/breast_cancer__granite-3.3-2b-instruct__97fecebfe0ba/run.json
breast_cancer,ibm-granite/granite-3.3-2b-instruct+jev_review,Granite 3.3 2B → Jev,review,cached_label_jev_review,4,,pending: no complete audited artifact,,,,,,,,,pending::breast_cancer::ibm-granite/granite-3.3-2b-instruct::review::4,breast_cancer__granite-3.3-2b-instruct__97fecebfe0ba,,
breast_cancer,gpt-5.6-luna,GPT-5.6 Luna,base,zero_shot,0,0,complete,114,0.7543859649122807,0.7543103448275862,0.7982312479528333,0,0.0,,,breast_cancer__gpt-5.6-luna__b8612044e1e5,,reused_original_tabular,results/tabular/hosted/breast_cancer__gpt-5.6-luna__b8612044e1e5/run.json
breast_cancer,gpt-5.6-luna+jev_review,GPT-5.6 Luna → Jev,review,cached_label_jev_review,0,0,complete,114,0.8771929824561403,0.8740530303030303,0.8922371437929906,0,1.0,0.31052613952829317,0.17993333333333333,breast_cancer__luna__k0__jev-review,breast_cancer__gpt-5.6-luna__b8612044e1e5,new_review_expansion,results/numeric_expansion/review/breast_cancer__luna__k0__jev-review/run.json
breast_cancer,gpt-5.6-luna,GPT-5.6 Luna,base,few_shot,4,8,complete,114,0.9122807017543859,0.9088874680306905,0.9204061578774976,0,0.0,,,breast_cancer__gpt-5.6-luna__6874301c84d2,,reused_original_tabular,results/tabular/hosted/breast_cancer__gpt-5.6-luna__6874301c84d2/run.json
breast_cancer,gpt-5.6-luna+jev_review,GPT-5.6 Luna → Jev,review,cached_label_jev_review,4,8,complete,114,0.9210526315789473,0.9227088402270884,0.9274484113986243,1,0.9912280701754386,0.16366489595542277,0.09554867256637167,breast_cancer__luna__k4__jev-review,breast_cancer__gpt-5.6-luna__6874301c84d2,new_review_expansion,results/numeric_expansion/review/breast_cancer__luna__k4__jev-review/run.json
breast_cancer,gpt-6-astra,GPT-6 Astra,base,zero_shot,0,0,complete,114,0.9912280701754386,0.99062114356232,0.9883720930232558,0,0.0,,,breast_cancer__gpt-6-astra__c2361622445b,,reused_original_tabular,results/tabular/hosted/breast_cancer__gpt-6-astra__c2361622445b/run.json
breast_cancer,gpt-6-astra+jev_review,GPT-6 Astra → Jev,review,cached_label_jev_review,0,0,complete,114,0.956140350877193,0.9526381387619444,0.9464461185718964,0,1.0,0.23983383525322616,0.1167140350877193,breast_cancer__astra__k0__jev-review,breast_cancer__gpt-6-astra__c2361622445b,new_review_expansion,results/numeric_expansion/review/breast_cancer__astra__k0__jev-review/run.json
breast_cancer,gpt-6-astra,GPT-6 Astra,base,few_shot,4,8,complete,114,0.9824561403508771,0.9811507936507937,0.9767441860465116,0,0.0,,,breast_cancer__gpt-6-astra__6be368014170,,reused_original_tabular,results/tabular/hosted/breast_cancer__gpt-6-astra__6be368014170/run.json
breast_cancer,gpt-6-astra+jev_review,GPT-6 Astra → Jev,review,cached_label_jev_review,4,8,complete,114,0.9385964912280702,0.9383415435139573,0.9369472649852604,1,0.9912280701754386,0.14572582485398697,0.08256991150442476,breast_cancer__astra__jev-review,breast_cancer__gpt-6-astra__6be368014170,reused_original_numeric_supplement,results/numeric_decisions/review/breast_cancer__astra__jev-review/run.json
breast_cancer,typesafe/jev-1.13,Jev alone,direct,zero_shot,0,0,complete,114,0.8421052631578947,0.8448950829940495,0.8732394366197183,1,0.9912280701754386,0.39840317189816166,0.23605663716814165,breast_cancer__jev-1.13__e30c52b19b9e,,reused_original_tabular,results/tabular/hosted/breast_cancer__jev-1.13__e30c52b19b9e/run.json
breast_cancer,typesafe/jev-1.13,Jev alone,direct,few_shot,4,8,complete,114,0.9298245614035088,0.9286656770575623,0.9253193580085162,1,0.9912280701754386,0.16217180449871435,0.09516814159292035,breast_cancer__jev-1.13__3d1cba817d2a,,reused_original_tabular,results/tabular/hosted/breast_cancer__jev-1.13__3d1cba817d2a/run.json
breast_cancer,logistic_regression,Logistic regression,classical,classical_tabular,4,8,complete,114,0.9473684210526315,0.9434523809523809,0.9394038650507697,0,1.0,0.15210891183751024,0.0799912447322044,breast_cancer__native_logistic_regression__55222f2fa251,,reused_original_tabular,results/tabular/classical/breast_cancer__native_logistic_regression__55222f2fa251/run.json
breast_cancer,logistic_regression,Logistic regression,classical,classical_tabular,,341,complete,114,0.9912280701754386,0.9907067742724383,0.9929577464788732,0,1.0,0.043098294369386336,0.022169144345879854,breast_cancer__native_logistic_regression__438380deafe6,,reused_original_tabular,results/tabular/classical/breast_cancer__native_logistic_regression__438380deafe6/run.json
breast_cancer,random_forest,Random forest,classical,classical_tabular,4,8,complete,114,0.956140350877193,0.9521289997480473,0.9418604651162791,0,1.0,0.1940429856692229,0.09328245614035087,breast_cancer__native_random_forest__a42a202bf624,,reused_original_tabular,results/tabular/classical/breast_cancer__native_random_forest__a42a202bf624/run.json
breast_cancer,random_forest,Random forest,classical,classical_tabular,,341,complete,114,0.9824561403508771,0.981329839502129,0.981329839502129,0,1.0,0.072615682022796,0.035180701754385965,breast_cancer__native_random_forest__751a2e898562,,reused_original_tabular,results/tabular/classical/breast_cancer__native_random_forest__751a2e898562/run.json
breast_cancer,xgboost,XGBoost,classical,classical_numeric_supplement,4,8,complete,114,0.8859649122807017,0.8725380579685216,0.8580085162135604,0,1.0,0.361616957320983,0.20429684787426855,breast_cancer__xgboost__9c76aff839d2,,reused_original_numeric_supplement,results/numeric_decisions/boosting/breast_cancer__xgboost__9c76aff839d2/run.json
breast_cancer,xgboost,XGBoost,classical,classical_numeric_supplement,,341,complete,114,0.9736842105263158,0.9718634306869601,0.9697019325253848,0,1.0,0.05560648423519515,0.02957324112660556,breast_cancer__xgboost__1dd185c019f9,,reused_original_numeric_supplement,results/numeric_decisions/boosting/breast_cancer__xgboost__1dd185c019f9/run.json
breast_cancer,lightgbm,LightGBM,classical,classical_numeric_supplement,4,8,complete,114,0.9210526315789473,0.9147486497714998,0.9091057975761545,0,1.0,0.2762096562613785,0.1454348814533686,breast_cancer__lightgbm__faf40cbee821,,reused_original_numeric_supplement,results/numeric_decisions/boosting/breast_cancer__lightgbm__faf40cbee821/run.json
breast_cancer,lightgbm,LightGBM,classical,classical_numeric_supplement,,341,complete,114,0.9649122807017544,0.9619111259605746,0.9534883720930232,0,1.0,0.061917386556463706,0.03446657026667489,breast_cancer__lightgbm__36bc7b3a8924,,reused_original_numeric_supplement,results/numeric_decisions/boosting/breast_cancer__lightgbm__36bc7b3a8924/run.json
wine,Qwen/Qwen2.5-0.5B-Instruct,Qwen2.5 0.5B,base,zero_shot,0,0,complete,36,0.3333333333333333,0.16666666666666666,0.3333333333333333,0,1.0,1.4994249251094538,0.799271614696122,wine__Qwen2.5-0.5B-Instruct__6caaa1e6b4e8,,reused_original_tabular,results/tabular/local/wine__Qwen2.5-0.5B-Instruct__6caaa1e6b4e8/run.json
wine,Qwen/Qwen2.5-0.5B-Instruct+jev_review,Qwen2.5 0.5B → Jev,review,cached_label_jev_review,0,0,complete,36,0.3333333333333333,0.16666666666666666,0.3333333333333333,0,1.0,1.3080818639954324,0.8216888888888889,wine__qwen_small__k0__jev-review,wine__Qwen2.5-0.5B-Instruct__6caaa1e6b4e8,new_review_expansion,results/numeric_expansion/review/wine__qwen_small__k0__jev-review/run.json
wine,Qwen/Qwen2.5-0.5B-Instruct,Qwen2.5 0.5B,base,few_shot,4,12,complete,36,0.3333333333333333,0.16666666666666666,0.3333333333333333,0,1.0,1.5111992552447322,0.8555154468676524,wine__Qwen2.5-0.5B-Instruct__76dea05d8b42,,reused_original_tabular,results/tabular/local/wine__Qwen2.5-0.5B-Instruct__76dea05d8b42/run.json
wine,Qwen/Qwen2.5-0.5B-Instruct+jev_review,Qwen2.5 0.5B → Jev,review,cached_label_jev_review,4,12,complete,36,0.9166666666666666,0.9163636363636364,0.9285714285714285,0,1.0,0.25929167383111856,0.12858333333333336,wine__qwen_small__k4__jev-review,wine__Qwen2.5-0.5B-Instruct__76dea05d8b42,new_review_expansion,results/numeric_expansion/review/wine__qwen_small__k4__jev-review/run.json
wine,Qwen/Qwen3-4B-Instruct-2507,Qwen3 4B,base,zero_shot,0,0,complete,36,0.3888888888888889,0.18666666666666668,0.3333333333333333,0,1.0,5.753180490701683,1.0747771203313388,wine__Qwen3-4B-Instruct-2507__c923604a4ba1,,reused_original_tabular,results/tabular/colab/wine__Qwen3-4B-Instruct-2507__c923604a4ba1/run.json
wine,Qwen/Qwen3-4B-Instruct-2507+jev_review,Qwen3 4B → Jev,review,cached_label_jev_review,0,0,complete,36,0.3611111111111111,0.2169934640522876,0.35714285714285715,0,1.0,1.2071426194613322,0.7073944444444444,wine__qwen_main__k0__jev-review,wine__Qwen3-4B-Instruct-2507__c923604a4ba1,new_review_expansion,results/numeric_expansion/review/wine__qwen_main__k0__jev-review/run.json
wine,Qwen/Qwen3-4B-Instruct-2507,Qwen3 4B,base,few_shot,4,12,complete,36,0.8055555555555556,0.8087912087912087,0.8214285714285715,0,1.0,2.1599128738373157,0.38367941321480536,wine__Qwen3-4B-Instruct-2507__cea3e01ea8d0,,reused_original_tabular,results/tabular/colab/wine__Qwen3-4B-Instruct-2507__cea3e01ea8d0/run.json
wine,Qwen/Qwen3-4B-Instruct-2507+jev_review,Qwen3 4B → Jev,review,cached_label_jev_review,4,12,complete,36,0.8888888888888888,0.890746934225195,0.9007936507936508,0,1.0,0.23585434424004312,0.13058333333333333,wine__qwen3_4b__jev-review,wine__Qwen3-4B-Instruct-2507__cea3e01ea8d0,reused_original_numeric_supplement,results/numeric_decisions/review/wine__qwen3_4b__jev-review/run.json
wine,HuggingFaceTB/SmolLM2-1.7B-Instruct,SmolLM2 1.7B,base,zero_shot,0,0,complete,36,0.3333333333333333,0.16666666666666666,0.3333333333333333,0,1.0,1.1143660854989188,0.6781942322199596,wine__SmolLM2-1.7B-Instruct__709bcc1f2998,,new_local_expansion,results/numeric_expansion/local/wine__SmolLM2-1.7B-Instruct__709bcc1f2998/run.json
wine,HuggingFaceTB/SmolLM2-1.7B-Instruct+jev_review,SmolLM2 1.7B → Jev,review,cached_label_jev_review,0,,pending: no complete audited artifact,,,,,,,,,pending::wine::HuggingFaceTB/SmolLM2-1.7B-Instruct::review::0,wine__SmolLM2-1.7B-Instruct__709bcc1f2998,,
wine,HuggingFaceTB/SmolLM2-1.7B-Instruct,SmolLM2 1.7B,base,few_shot,4,12,complete,36,0.3333333333333333,0.16666666666666666,0.3333333333333333,0,1.0,1.2498937745149563,0.7806048508306549,wine__SmolLM2-1.7B-Instruct__61b7e37b5455,,new_local_expansion,results/numeric_expansion/local/wine__SmolLM2-1.7B-Instruct__61b7e37b5455/run.json
wine,HuggingFaceTB/SmolLM2-1.7B-Instruct+jev_review,SmolLM2 1.7B → Jev,review,cached_label_jev_review,4,,pending: no complete audited artifact,,,,,,,,,pending::wine::HuggingFaceTB/SmolLM2-1.7B-Instruct::review::4,wine__SmolLM2-1.7B-Instruct__61b7e37b5455,,
wine,ibm-granite/granite-3.3-2b-instruct,Granite 3.3 2B,base,zero_shot,0,0,complete,36,0.2777777777777778,0.14492753623188406,0.3333333333333333,0,1.0,3.3933925295459115,1.400828927421096,wine__granite-3.3-2b-instruct__29b8530e4f40,,new_local_expansion,results/numeric_expansion/local/wine__granite-3.3-2b-instruct__29b8530e4f40/run.json
wine,ibm-granite/granite-3.3-2b-instruct+jev_review,Granite 3.3 2B → Jev,review,cached_label_jev_review,0,,pending: no complete audited artifact,,,,,,,,,pending::wine::ibm-granite/granite-3.3-2b-instruct::review::0,wine__granite-3.3-2b-instruct__29b8530e4f40,,
wine,ibm-granite/granite-3.3-2b-instruct,Granite 3.3 2B,base,few_shot,4,12,complete,36,0.3333333333333333,0.16666666666666666,0.3333333333333333,0,1.0,3.2461552985158146,1.2571792989482242,wine__granite-3.3-2b-instruct__16efece16c12,,new_local_expansion,results/numeric_expansion/local/wine__granite-3.3-2b-instruct__16efece16c12/run.json
wine,ibm-granite/granite-3.3-2b-instruct+jev_review,Granite 3.3 2B → Jev,review,cached_label_jev_review,4,,pending: no complete audited artifact,,,,,,,,,pending::wine::ibm-granite/granite-3.3-2b-instruct::review::4,wine__granite-3.3-2b-instruct__16efece16c12,,
wine,gpt-5.6-luna,GPT-5.6 Luna,base,zero_shot,0,0,complete,36,0.4722222222222222,0.34511784511784516,0.42063492063492064,0,0.0,,,wine__gpt-5.6-luna__e3ff7ad8c4ad,,reused_original_tabular,results/tabular/hosted/wine__gpt-5.6-luna__e3ff7ad8c4ad/run.json
wine,gpt-5.6-luna+jev_review,GPT-5.6 Luna → Jev,review,cached_label_jev_review,0,0,complete,36,0.3888888888888889,0.2758057935536516,0.376984126984127,0,1.0,1.191924980187059,0.6860666666666666,wine__luna__k0__jev-review,wine__gpt-5.6-luna__e3ff7ad8c4ad,new_review_expansion,results/numeric_expansion/review/wine__luna__k0__jev-review/run.json
wine,gpt-5.6-luna,GPT-5.6 Luna,base,few_shot,4,12,complete,36,0.8888888888888888,0.888888888888889,0.9047619047619048,0,0.0,,,wine__gpt-5.6-luna__bf0ee5396886,,reused_original_tabular,results/tabular/hosted/wine__gpt-5.6-luna__bf0ee5396886/run.json
wine,gpt-5.6-luna+jev_review,GPT-5.6 Luna → Jev,review,cached_label_jev_review,4,12,complete,36,0.9166666666666666,0.9163636363636364,0.9285714285714285,0,1.0,0.200966013397164,0.09963333333333332,wine__luna__k4__jev-review,wine__gpt-5.6-luna__bf0ee5396886,new_review_expansion,results/numeric_expansion/review/wine__luna__k4__jev-review/run.json
wine,gpt-6-astra,GPT-6 Astra,base,zero_shot,0,0,complete,36,1.0,1.0,1.0,0,0.0,,,wine__gpt-6-astra__bb75b85e6193,,reused_original_tabular,results/tabular/hosted/wine__gpt-6-astra__bb75b85e6193/run.json
wine,gpt-6-astra+jev_review,GPT-6 Astra → Jev,review,cached_label_jev_review,0,0,complete,36,0.4444444444444444,0.32996632996632996,0.42857142857142855,0,1.0,0.8036128364367503,0.48069444444444454,wine__astra__k0__jev-review,wine__gpt-6-astra__bb75b85e6193,new_review_expansion,results/numeric_expansion/review/wine__astra__k0__jev-review/run.json
wine,gpt-6-astra,GPT-6 Astra,base,few_shot,4,12,complete,36,0.9722222222222222,0.9876543209876543,0.9761904761904763,1,0.0,,,wine__gpt-6-astra__d5c2863bd80f,,reused_original_tabular,results/tabular/hosted/wine__gpt-6-astra__d5c2863bd80f/run.json
wine,gpt-6-astra+jev_review,GPT-6 Astra → Jev,review,cached_label_jev_review,4,12,complete,36,0.9444444444444444,0.9584859584859585,0.9523809523809524,1,0.9722222222222222,0.1704390693110266,0.07614857142857141,wine__astra__jev-review,wine__gpt-6-astra__d5c2863bd80f,reused_original_numeric_supplement,results/numeric_decisions/review/wine__astra__jev-review/run.json
wine,typesafe/jev-1.13,Jev alone,direct,zero_shot,0,0,complete,36,0.3333333333333333,0.16666666666666666,0.3333333333333333,0,1.0,1.6428121610894566,1.0065277777777777,wine__jev-1.13__7daebee622e6,,reused_original_tabular,results/tabular/hosted/wine__jev-1.13__7daebee622e6/run.json
wine,typesafe/jev-1.13,Jev alone,direct,few_shot,4,12,complete,36,0.9166666666666666,0.9163636363636364,0.9285714285714285,0,1.0,0.22114673590465783,0.11175000000000002,wine__jev-1.13__33047fa693a8,,reused_original_tabular,results/tabular/hosted/wine__jev-1.13__33047fa693a8/run.json
wine,logistic_regression,Logistic regression,classical,classical_tabular,4,12,complete,36,0.9722222222222222,0.9740129935032483,0.9722222222222222,0,1.0,0.1722507631729814,0.06904373030264525,wine__native_logistic_regression__c517f9ce4b63,,reused_original_tabular,results/tabular/classical/wine__native_logistic_regression__c517f9ce4b63/run.json
wine,logistic_regression,Logistic regression,classical,classical_tabular,,106,complete,36,0.9722222222222222,0.9717813051146384,0.9761904761904763,0,1.0,0.06223956414554212,0.026225125301906793,wine__native_logistic_regression__0257df1d8b1e,,reused_original_tabular,results/tabular/classical/wine__native_logistic_regression__0257df1d8b1e/run.json
wine,random_forest,Random forest,classical,classical_tabular,4,12,complete,36,0.9444444444444444,0.9474747474747475,0.9444444444444445,0,1.0,0.3756182188638316,0.17885277777777778,wine__native_random_forest__b446bd3c19ff,,reused_original_tabular,results/tabular/classical/wine__native_random_forest__b446bd3c19ff/run.json
wine,random_forest,Random forest,classical,classical_tabular,,106,complete,36,1.0,1.0,1.0,0,1.0,0.1264113385311007,0.05022638888888889,wine__native_random_forest__2c1bd7cfe916,,reused_original_tabular,results/tabular/classical/wine__native_random_forest__2c1bd7cfe916/run.json
wine,xgboost,XGBoost,classical,classical_numeric_supplement,4,12,complete,36,0.7222222222222222,0.692268305171531,0.692857142857143,0,1.0,0.6692962661529336,0.3638727230641237,wine__xgboost__381b6c451e40,,reused_original_numeric_supplement,results/numeric_decisions/boosting/wine__xgboost__381b6c451e40/run.json
wine,xgboost,XGBoost,classical,classical_numeric_supplement,,106,complete,36,0.9444444444444444,0.9409876543209875,0.942857142857143,0,1.0,0.19155030146768504,0.11083095176824934,wine__xgboost__7a9a66463dea,,reused_original_numeric_supplement,results/numeric_decisions/boosting/wine__xgboost__7a9a66463dea/run.json
wine,lightgbm,LightGBM,classical,classical_numeric_supplement,4,12,complete,36,0.8333333333333334,0.8204555129842487,0.8150793650793652,0,1.0,0.5035406328802121,0.27820445925407333,wine__lightgbm__209e83797064,,reused_original_numeric_supplement,results/numeric_decisions/boosting/wine__lightgbm__209e83797064/run.json
wine,lightgbm,LightGBM,classical,classical_numeric_supplement,,106,complete,36,0.9444444444444444,0.9381353767560664,0.9333333333333332,0,1.0,0.16979218492697495,0.09272787083359829,wine__lightgbm__af442a516629,,reused_original_numeric_supplement,results/numeric_decisions/boosting/wine__lightgbm__af442a516629/run.json
