dataset,model,display_model,method,method_label,track,status,seed,labels_per_class,train_labels,dev_labels,label_count_basis,output_protocol,latency_basis,run_id,source_path,manifest_sha256,test_ids_sha256,selection,selected_validation_macro_f1,base_revision,reasoning_effort,max_output_tokens,training_quantized,training_s,accuracy,accuracy_ci_low,accuracy_ci_high,macro_f1,macro_f1_ci_low,macro_f1_ci_high,bootstrap_samples,n_test,n_failures,failure_rate,latency_p50_s,latency_p95_s,resolved_models,resolved_revisions,scoring_details,input_tokens,output_tokens,input_tokens_coverage,output_tokens_coverage,input_tokens_known_total,output_tokens_known_total,manifest_group
sst2,gpt-5.6-luna,GPT-5.6 Luna,few_shot,few-shot 4/class,matched/reference,complete,42,4,8,0,recorded,generated label,hosted end-to-end request,sst2__gpt-5.6-luna__af6e2721cfa0,results/hosted/sst2__gpt-5.6-luna__af6e2721cfa0/run.json,8c12945f6b673f72452096793b4777a94f2455ea55c51f4dc8c9dba9bb8a8201,0d20d0ef31088eae9a7ecddbe1f61daf17b86b5757b34f868da0378149451f31,configuration fixed,,,none,256,,,0.955,0.925,0.98,0.9549898727213624,0.9248478168290788,0.98,1000,200,0,0.0,0.9967530415742658,1.6936587080766896,gpt-5.6-luna,,,58599,800,1.0,1.0,58599,800,sst2-M1
sst2,gpt-6-astra,GPT-6 Astra,zero_shot,zero-shot,matched/reference,complete,42,0,0,0,recorded,generated label,hosted end-to-end request,sst2__gpt-6-astra__9279b61f6e7a,results/hosted/sst2__gpt-6-astra__9279b61f6e7a/run.json,8c12945f6b673f72452096793b4777a94f2455ea55c51f4dc8c9dba9bb8a8201,0d20d0ef31088eae9a7ecddbe1f61daf17b86b5757b34f868da0378149451f31,configuration fixed,,,low,1024,,,0.97,0.945,0.99,0.97,0.9449656035021888,0.9899989998999901,1000,200,0,0.0,1.717712104495149,3.0413941166945717,gpt-6-astra,,,16199,1297,1.0,1.0,16199,1297,sst2-M1
sst2,gpt-6-astra,GPT-6 Astra,few_shot,few-shot 4/class,matched/reference,complete,42,4,8,0,recorded,generated label,hosted end-to-end request,sst2__gpt-6-astra__e77320ccd3cf,results/hosted/sst2__gpt-6-astra__e77320ccd3cf/run.json,8c12945f6b673f72452096793b4777a94f2455ea55c51f4dc8c9dba9bb8a8201,0d20d0ef31088eae9a7ecddbe1f61daf17b86b5757b34f868da0378149451f31,configuration fixed,,,low,1024,,,0.975,0.95,0.995,0.9749993749843746,0.9499949994999499,0.994998874746818,1000,200,0,0.0,1.6884937499999069,2.8555242857779364,gpt-6-astra,,,58599,1105,1.0,1.0,58599,1105,sst2-M1
sst2,jev-1.13.0,Jev 1.13,zero_shot,zero-shot,matched/reference,unmeasured (API access unavailable),42,0,0,0,planned,,,,,,,planned condition,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sst2,jev-1.13.0,Jev 1.13,few_shot,few-shot 4/class,matched/reference,unmeasured (API access unavailable),42,4,8,0,planned,,,,,,,planned condition,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sst2,linear_svc,TF-IDF + linear SVM,classical,full prepared,full prepared (extra labels),complete,42,full prepared,10000,1000,recorded,classical native,amortized batch per row,sst2__linear_svc__2f0742f75b09,results/pilot/sst2__linear_svc__2f0742f75b09/run.json,8c12945f6b673f72452096793b4777a94f2455ea55c51f4dc8c9dba9bb8a8201,0d20d0ef31088eae9a7ecddbe1f61daf17b86b5757b34f868da0378149451f31,highest recorded validation macro-F1,0.8557825119030209,,,,,1.5153200420318171,0.795,0.735,0.8451249999999999,0.7948717948717949,0.7349337269629879,0.8451027562996882,1000,200,0,0.0,7.75214598979801e-05,7.75214598979801e-05,,,,,,0.0,0.0,0,0,sst2-M1
trec,multinomial_nb,TF-IDF + Multinomial NB,classical,classical 4/class,matched/reference,complete,42,4,24,0,recorded,classical native,amortized batch per row,trec__multinomial_nb__9794e79f5e77,results/colab/trec__multinomial_nb__9794e79f5e77/run.json,82ffabbb8da285a63645b2d21dc15f8cbba5d150c2d30117a286f937f3e185fe,2cc832acac30d7611501a14ba5ac9609562ebbd121c421e6cfccc0870b2b26f2,configuration fixed,,,,,,0.007491379999919445,0.5,0.435,0.565,0.4856549592407015,0.41937221685411685,0.5466364899084415,1000,200,0,0.0,6.14406249997046e-05,6.14406249997046e-05,,,,,,0.0,0.0,0,0,trec-M1
trec,multinomial_nb,TF-IDF + Multinomial NB,classical,classical 4/class,matched/reference,complete,42,4,24,0,recorded,classical native,amortized batch per row,trec__multinomial_nb__db3012a1e2fb,results/pilot/trec__multinomial_nb__db3012a1e2fb/run.json,d44f342fb000a58a037309a667697f2cf9c3720d52437298b5c50cbc239e333a,2cc832acac30d7611501a14ba5ac9609562ebbd121c421e6cfccc0870b2b26f2,configuration fixed,,,,,,0.0843085830565542,0.5,0.435,0.565,0.4856549592407015,0.41937221685411685,0.5466364899084415,1000,200,0,0.0,0.0002004297950770706,0.0002004297950770706,,,,,,0.0,0.0,0,0,trec-M2
trec,Qwen/Qwen2.5-0.5B-Instruct,Qwen2.5 0.5B,zero_shot,zero-shot,matched/reference,complete,42,0,0,0,recorded,restricted-label likelihood,local sequential class scoring,trec__Qwen2.5-0.5B-Instruct__67b435872393,results/pilot/trec__Qwen2.5-0.5B-Instruct__67b435872393/run.json,d44f342fb000a58a037309a667697f2cf9c3720d52437298b5c50cbc239e333a,2cc832acac30d7611501a14ba5ac9609562ebbd121c421e6cfccc0870b2b26f2,configuration fixed,,7ae557604adf67be50417f59c2c2f167def9a775,,,,,0.155,0.125,0.18,0.08169000998768959,0.06766218591528878,0.09539380588618193,1000,200,0,0.0,1.364238000009209,1.650556845468236,,7ae557604adf67be50417f59c2c2f167def9a775,sum_logp_numeric_id_plus_eos,24054,0,1.0,1.0,24054,0,trec-M2
trec,Qwen/Qwen2.5-0.5B-Instruct,Qwen2.5 0.5B,few_shot,few-shot 4/class,matched/reference,complete,42,4,24,0,recorded,restricted-label likelihood,local sequential class scoring,trec__Qwen2.5-0.5B-Instruct__5d00e79e1d60,results/pilot/trec__Qwen2.5-0.5B-Instruct__5d00e79e1d60/run.json,d44f342fb000a58a037309a667697f2cf9c3720d52437298b5c50cbc239e333a,2cc832acac30d7611501a14ba5ac9609562ebbd121c421e6cfccc0870b2b26f2,configuration fixed,,7ae557604adf67be50417f59c2c2f167def9a775,,,,,0.175,0.14,0.215,0.08807352128247652,0.06377953334370763,0.11525812017326678,1000,200,0,0.0,2.9597261255257763,6.270092852017841,,7ae557604adf67be50417f59c2c2f167def9a775,sum_logp_numeric_id_plus_eos,137454,0,1.0,1.0,137454,0,trec-M2
trec,Qwen/Qwen2.5-0.5B-Instruct,Qwen2.5 0.5B,lora,LoRA 4/class,matched/reference,complete,42,4,24,0,recorded,restricted-label likelihood,local sequential class scoring,trec__Qwen2.5-0.5B-Instruct__23d9b42b5b4e,results/pilot/trec__Qwen2.5-0.5B-Instruct__23d9b42b5b4e/run.json,d44f342fb000a58a037309a667697f2cf9c3720d52437298b5c50cbc239e333a,2cc832acac30d7611501a14ba5ac9609562ebbd121c421e6cfccc0870b2b26f2,configuration fixed,,7ae557604adf67be50417f59c2c2f167def9a775,,,False,22.483185457997024,0.04,0.025,0.06,0.044526143790849675,0.0157518236581856,0.07986967269766776,1000,200,0,0.0,0.5442744999891147,0.5730424482608214,,7ae557604adf67be50417f59c2c2f167def9a775,sum_logp_numeric_id_plus_eos,24054,0,1.0,1.0,24054,0,trec-M2
trec,Qwen/Qwen3-4B-Instruct-2507,Qwen3 4B,zero_shot,zero-shot,matched/reference,complete,42,0,0,0,recorded,restricted-label likelihood,local sequential class scoring,trec__Qwen3-4B-Instruct-2507__2f1ff41bd14e,results/colab/trec__Qwen3-4B-Instruct-2507__2f1ff41bd14e/run.json,82ffabbb8da285a63645b2d21dc15f8cbba5d150c2d30117a286f937f3e185fe,2cc832acac30d7611501a14ba5ac9609562ebbd121c421e6cfccc0870b2b26f2,configuration fixed,,cdbee75f17c01a7cc42f958dc650907174af0554,,,,,0.525,0.485,0.565,0.48204663657354924,0.3756163404460207,0.5552411612453004,1000,200,0,0.0,0.5847705185000223,0.6281924526499324,,cdbee75f17c01a7cc42f958dc650907174af0554,sum_logp_numeric_id_plus_eos,19854,0,1.0,1.0,19854,0,trec-M1
trec,Qwen/Qwen3-4B-Instruct-2507,Qwen3 4B,few_shot,few-shot 4/class,matched/reference,complete,42,4,24,0,recorded,restricted-label likelihood,local sequential class scoring,trec__Qwen3-4B-Instruct-2507__c0b1cc9b3d0f,results/colab/trec__Qwen3-4B-Instruct-2507__c0b1cc9b3d0f/run.json,82ffabbb8da285a63645b2d21dc15f8cbba5d150c2d30117a286f937f3e185fe,2cc832acac30d7611501a14ba5ac9609562ebbd121c421e6cfccc0870b2b26f2,configuration fixed,,cdbee75f17c01a7cc42f958dc650907174af0554,,,,,0.83,0.785,0.875,0.8517748983850678,0.808881256463489,0.8913472689023841,1000,200,0,0.0,4.183219312999881,4.2699642242499865,,cdbee75f17c01a7cc42f958dc650907174af0554,sum_logp_numeric_id_plus_eos,133254,0,1.0,1.0,133254,0,trec-M1
trec,Qwen/Qwen3-4B-Instruct-2507,Qwen3 4B,lora,QLoRA 4/class,matched/reference,complete,42,4,24,0,recorded,restricted-label likelihood,local sequential class scoring,trec__Qwen3-4B-Instruct-2507__70bf91598825,results/colab/trec__Qwen3-4B-Instruct-2507__70bf91598825/run.json,82ffabbb8da285a63645b2d21dc15f8cbba5d150c2d30117a286f937f3e185fe,2cc832acac30d7611501a14ba5ac9609562ebbd121c421e6cfccc0870b2b26f2,configuration fixed,,cdbee75f17c01a7cc42f958dc650907174af0554,,,True,152.7148130129999,0.8,0.76,0.845,0.7509501002290576,0.6727571579790322,0.8171104832102742,1000,200,0,0.0,0.6879002155001217,0.8444407905001067,,cdbee75f17c01a7cc42f958dc650907174af0554,sum_logp_numeric_id_plus_eos,19854,0,1.0,1.0,19854,0,trec-M1
trec,gpt-5.6-luna,GPT-5.6 Luna,zero_shot,zero-shot,matched/reference,complete,42,0,0,0,recorded,generated label,hosted end-to-end request,trec__gpt-5.6-luna__0434e88259a6,results/hosted/trec__gpt-5.6-luna__0434e88259a6/run.json,d44f342fb000a58a037309a667697f2cf9c3720d52437298b5c50cbc239e333a,2cc832acac30d7611501a14ba5ac9609562ebbd121c421e6cfccc0870b2b26f2,configuration fixed,,,none,256,,,0.525,0.47,0.575,0.5591972392458032,0.49331409920528513,0.6171155425206429,1000,200,0,0.0,0.9807171664433554,1.4187545735272575,gpt-5.6-luna,,,19435,800,1.0,1.0,19435,800,trec-M2
trec,gpt-5.6-luna,GPT-5.6 Luna,few_shot,few-shot 4/class,matched/reference,complete,42,4,24,0,recorded,generated label,hosted end-to-end request,trec__gpt-5.6-luna__a183fc22ddc8,results/hosted/trec__gpt-5.6-luna__a183fc22ddc8/run.json,d44f342fb000a58a037309a667697f2cf9c3720d52437298b5c50cbc239e333a,2cc832acac30d7611501a14ba5ac9609562ebbd121c421e6cfccc0870b2b26f2,configuration fixed,,,none,256,,,0.85,0.804875,0.895,0.8478504529416527,0.7932703992841406,0.9012787985527231,1000,200,0,0.0,0.9976483955397271,1.5456819496641394,gpt-5.6-luna,,,131035,800,1.0,1.0,131035,800,trec-M2
trec,gpt-6-astra,GPT-6 Astra,zero_shot,zero-shot,matched/reference,complete,42,0,0,0,recorded,generated label,hosted end-to-end request,trec__gpt-6-astra__4788a3f7e01d,results/hosted/trec__gpt-6-astra__4788a3f7e01d/run.json,d44f342fb000a58a037309a667697f2cf9c3720d52437298b5c50cbc239e333a,2cc832acac30d7611501a14ba5ac9609562ebbd121c421e6cfccc0870b2b26f2,configuration fixed,,,low,1024,,,0.97,0.945,0.99,0.958043784330549,0.9172689848222688,0.9915336134453782,1000,200,0,0.0,1.7039708960219286,3.5528053188230837,gpt-6-astra,,,19435,2010,1.0,1.0,19435,2010,trec-M2
trec,gpt-6-astra,GPT-6 Astra,few_shot,few-shot 4/class,matched/reference,complete,42,4,24,0,recorded,generated label,hosted end-to-end request,trec__gpt-6-astra__f4c124cbaa8e,results/hosted/trec__gpt-6-astra__f4c124cbaa8e/run.json,d44f342fb000a58a037309a667697f2cf9c3720d52437298b5c50cbc239e333a,2cc832acac30d7611501a14ba5ac9609562ebbd121c421e6cfccc0870b2b26f2,configuration fixed,,,low,1024,,,0.97,0.945,0.99,0.9565870928884627,0.9166793017991649,0.9908446792344071,1000,200,0,0.0,1.6639978964813054,2.997413874301128,gpt-6-astra,,,131035,920,1.0,1.0,131035,920,trec-M2
trec,jev-1.13.0,Jev 1.13,zero_shot,zero-shot,matched/reference,unmeasured (API access unavailable),42,0,0,0,planned,,,,,,,planned condition,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trec,jev-1.13.0,Jev 1.13,few_shot,few-shot 4/class,matched/reference,unmeasured (API access unavailable),42,4,24,0,planned,,,,,,,planned condition,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trec,linear_svc,TF-IDF + linear SVM,classical,full prepared,full prepared (extra labels),complete,42,full prepared,4886,545,recorded,classical native,amortized batch per row,trec__linear_svc__6829a061a4ce,results/pilot/trec__linear_svc__6829a061a4ce/run.json,d44f342fb000a58a037309a667697f2cf9c3720d52437298b5c50cbc239e333a,2cc832acac30d7611501a14ba5ac9609562ebbd121c421e6cfccc0870b2b26f2,observed test-best; post-hoc descriptive; also highest validation macro-F1,0.8801911683960267,,,,,8.923320334055461,0.9,0.855,0.935,0.8979880585344858,0.817718215245281,0.9461906620469858,1000,200,0,0.0,0.00019970937457401306,0.00019970937457401306,,,,,,0.0,0.0,0,0,trec-M2
